----;levenstein;lemmaequal;grammequal;stemequal;lenorig;lencorr;bastard;PR_j1;ADV_j1;INTJ_j1;PRO_j1;PART_j1;V_j1;A_j1;S_j1;NUM_j1;CONJ_j1;PR_j2;ADV_j2;INTJ_j2;PRO_j2;PART_j2;V_j2;A_j2;S_j2;NUM_j2;CONJ_j2;hashyphen;hasgraph;hasneg;hasspace;hasaux;samebrev;samegender;samenum;samepers;levenstein_consonants;transfer;conj;syntax;neg;phon;aux;prep;del;constr;subst;idiom;ref;insert;transp;not-clear;passive;lex;misspell;graph;hyphen;space;translit;tense;infl;deriv;refl;typo;agrpers;par;wo;ortho;num;cs;agrgerund;morph;gov;asp;agrgender;agrcase;brev;agrnum;coord;punc
graph;0,031772699;0,001941887;0,002047805;0,001267279;7,27E-05;0;0,001713998;0;0,007107321;0;0,004938359;0;0,010682133;0,004033813;0,001199381;0;0;0,000560184;0,003922477;0;0,006342234;0;0,021475317;0,025360636;0,002188621;0;0,017416998;5,34E-05;0,676458192;0;0;0;0;0,013281866;0,002715182;0,000269883;0,161407933;0;0;0;0;0;0;0;0;0;0,001505664;0;0;0;0;0;0;0,000263971;0;;;;;;;;;;;;;;;;;;;;;;;;;
hyphen;0,139895181;0,009716845;0;0,003542467;0,089624646;0,142453818;0,0093914;0,02805125;0;0,002690292;0,024664378;0,008200512;0;0,006783007;0,020023447;0,005062098;0;0,007022004;0,002498063;0;0,00684134;8,58E-07;0;0,015767338;0,036426219;0,003929029;0,003845734;0,279538809;0;0;0,039981815;0;0,013425729;0,010908292;0,007350287;0;0,036382618;0;0;0;0;0;0;0;0,014202878;0;0,009785456;0;0;0,011540084;0,000732123;0;0;0,009721986;0;0;;;;;;;;;;;;;;;;;;;;;;;;
space;0,037009092;0;0,266232695;0,007223982;0,009329461;0,002312917;0;0,003283;0,020533089;0,00063059;0,000217704;0;0;0;0,00793773;0,002831616;0;0,005293294;0,009798555;0;0,004485377;0,019741392;0,000187928;1,57E-05;0,000253266;0;0,002048174;0,002804635;0;0,008572598;0,3430451;0,002078677;0,000439734;0,008712006;0,009620048;0;0,204970088;0;0;0;0;0;0;0;0,007037357;0;0;0;0;0,013354236;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
translit;0,110077645;0,108562397;0,001411826;4,38E-05;0,000158443;0,000252609;0,000249961;0,107390902;0;0;0;0,112975294;0;0,118084905;9,83E-05;0;0;5,20E-05;0;0;0,000232641;0;0,000197627;5,95E-05;6,28E-05;2,41E-05;0;0,115934151;0;0;3,23E-05;5,98E-05;0,000548049;0,000837934;0,000100465;0;0,222903224;0;4,92E-06;0;0;0;0;0;3,34E-05;0;0;0;0;0;0;0;0;0,001013166;0;5,49E-07;0,098597288;0;;;;;;;;;;;;;;;;;;;;;;
tense;0,224610385;0,107501086;0,002365807;0,043433074;0,021463807;0,006343497;0,009849825;0;0,03818103;0;0,009187484;0,005622816;0,007476645;0,000506051;0,000575728;0;0;0;0;0;0;0;0,119284923;0,000848483;0,000507027;0;0;0;0;0,003429938;0;0,0376495;0,057590446;0,0139907;0,079013734;0,070667108;0,088489702;0;0;0;0;0;0;0;0,017855116;0,000293645;0;0;0,019268015;0;0;0;0;0,013994426;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
infl;0,136761934;0,130017849;0,044682786;0,073861157;0,017521736;0,006720995;0,023805097;0,004795735;0,029927417;0;0,008622125;0,001193297;0,022164623;0,003598537;0,058107527;0;0;0,001324423;0,013523137;0;0,021611767;0;0,054052342;0,009303457;0,055674858;0,010113193;0,002383016;0,021812416;0,000105298;0;0;0;0,014595227;0,023149448;0,076407531;0,024485154;0,077970494;0;0;0;0;0;0;0;0;0;0,026455326;0;0;0,000925226;0;0;0;0;0,002826867;0;0;0;0;0,001500005;;;;;;;;;;;;;;;;;;;;
deriv;0,260005338;0,000257028;0,001028957;0,066106266;0,000300975;0,000936506;0,033796506;4,94E-06;0,000559166;0;0,000384005;0;0,000412811;0,000200514;0,00033852;0;0;0,000136188;0,000295731;0;0,071721223;0;0,000753282;0,03516755;0,08289284;0,000411408;0;0,03351118;0;0;0;5,64E-06;0,000325881;0,036975368;0,000294395;0,000243535;0,29492157;0;0;0;0;0;0;0;0,04302078;0;2,12E-05;0;5,98E-05;7,63E-05;0;0,000181235;0;0,034044507;0,000135318;1,25E-05;2,53E-05;0;0;0,00043568;0;;;;;;;;;;;;;;;;;;;
refl;0,35945;0,109493634;0,00862109;0,020715107;0,005145841;0,04023855;0,001591223;0;1,97E-05;0;0,023557049;0;0,040530407;0,001688372;6,11E-05;0;0;0,019799071;0,000185669;0;0,000348962;0;0,006308683;0,000531451;0,003556618;0;0;0;0;0;0;0,001042089;0,005695256;0,097455529;0,032881431;0,159081405;0,052095455;0;0;0;0;0;0;0,003918835;0,001213793;0,000780928;0;0;5,20E-05;0;0;0;0;0,003588748;0,000342897;9,05E-06;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
typo;0,298625687;4,89E-05;4,37E-05;0,00015241;0,067625069;0,062780146;0,062114669;0,000244161;0,000108023;3,02E-06;0,000170416;0,000366049;0,05739226;0,000515035;0,001778978;0;0;0,000278339;0,000160458;7,94E-05;0,000255869;0;0,000253972;0,128084763;0,058679012;2,48E-05;2,86E-05;1,43E-05;0,000304881;0,063331393;6,17E-05;3,16E-05;3,05E-05;0,00011335;0,068137415;0,000209563;0,126983407;0;0;0;0;2,82E-05;0;0;0;0,000318329;1,40E-05;0;0;0,000347234;0;0;0;3,90E-06;0;2,68E-07;0,000256206;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
agrpers;0,001663084;0,000460235;0,000584731;0,000390181;0,24090422;0,000550207;0;0;6,14E-05;0;8,55E-06;0;9,42E-06;0;0,000123253;0;0;0,000230692;0;0;0,000740356;0,086712856;0,00014347;0,081267687;0;0;0;0;0;0,000142083;0;1,97E-05;9,79E-05;0,247092183;0,00429949;0,080983339;0,172644608;0;0;0;0;0;0;0;0;0,07953746;0;0;0;0,000100995;0;0;0;0,00123188;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
par;0,214854309;0,004755646;0,027773023;0,030413941;0,014095306;0,004135138;0,014918849;0,013825341;0,001442621;0;0,016087552;0,000961586;0,014510251;0,045483516;0,023810187;0,009109992;0,00416081;0;0,011367754;0;0,002934075;0;0,028294801;0,020677795;0,010070088;0;0;0;0;0,018126591;0;0;0,056475913;0,069076818;0,051742387;0,022685603;0,195549086;0;0;0;0;0;0;0;0;0,040965271;0,013794225;0,003093211;0;0,003803082;0;0;0;0,011005233;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
wo;0,104056256;0;0;0,157718088;0,0518269;0,06969135;0,001050856;0,008786735;0,020085574;0;0,015516577;0,009391891;0,022902431;0,010982524;0,011734002;0;0,00255814;0,028685524;0,02474309;0;0,013526;0,011290708;0,018665428;0,007581762;0,000918714;0,00618246;0,003869259;0,000457658;0,001015099;0,006165063;0;0,008784114;0,007900666;0,012792064;0,001965075;0,022666579;0,177762959;0,001530566;0,000388202;0;0;0;0;0;0,00585711;0,122893622;0;0;0;0,003908969;0,004250877;0;0;0,019887906;0;0;0;9,20E-06;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ortho;0,274741288;0,155334559;0,016089871;0,024184767;0,018544657;0,016819763;0,014008046;0,008648623;0,006140258;0,003955137;0,028439073;0,004632219;0,02062894;0,006974956;0,009163359;0,002724686;0,001600417;0,01775441;0,015670492;0;0,007273832;0,002629569;0,014825049;0,010022614;0,013636148;0,00196224;0,002985744;0,012045703;0,001687098;0,002633495;0,048229314;0,001507436;0,005924764;0,013129234;0,01334351;0,003456716;0,044765146;0;0,000910502;0;0;0,000679096;0;0;0,00380723;0,001850235;0,001559528;0,00034959;0,001858763;0,000642539;0,000551543;5,06E-05;0;0,055864026;0,00241338;0,014733127;0,021844648;0,041480594;0,001467976;0,000476709;0,00217615;0,000253022;0,000274221;0,000643345;0;0;0;;;;;;;;;;;;;
num;0,145736443;0,127400407;0,029654896;0,068226801;0,082196179;0,016765152;0,00561548;0,002533456;0,000110342;0;0,003251334;0;0,015650986;0,00373913;0,120396773;0;0,000904068;0,005749288;0;0;0,018176731;0;0,000273448;0,018878093;0,021584946;0,002655396;0;0;0;0;0;0;0,006652371;0,012038616;0,144623246;3,71E-06;0,109267126;0;0;0;0;0;0;0;0;0,010606983;0;0;0,002349516;0;0;0;0;0,001017456;0;0;0;0;0;0;0;0;0;0;0;0;0,001117272;0,022824356;;;;;;;;;;;;
